"t_stamp","boucherville/deck shop/line 51/standard/status"
"2024-03-21 14:09:16.339","3"
"2024-03-21 14:09:17.342","6"
"2024-03-21 14:16:31.347","2"
"2024-03-21 14:16:39.360","6"
"2024-03-21 14:19:51.002","7"
"2024-03-21 14:19:53.005","2"
"2024-03-21 14:19:58.015","3"
"2024-03-21 14:19:59.013","6"
"2024-03-21 14:20:15.063","2"
"2024-03-21 14:26:06.054","3"
"2024-03-21 14:26:09.061","6"
"2024-03-21 14:27:17.383","7"
"2024-03-21 14:27:19.386","2"
"2024-03-21 14:28:21.284","3"
"2024-03-21 14:28:28.166","6"
"2024-03-21 14:28:47.208","7"
"2024-03-21 14:28:53.221","2"
"2024-03-21 14:29:33.297","6"
"2024-03-21 14:31:39.798","7"
"2024-03-21 14:31:44.807","2"
"2024-03-21 14:32:29.897","6"
"2024-03-21 14:35:04.682","7"
"2024-03-21 14:35:09.693","2"
"2024-03-21 14:35:47.843","6"
"2024-03-21 14:38:22.758","7"
"2024-03-21 14:38:30.480","2"
"2024-03-21 14:39:22.584","3"
"2024-03-21 14:39:23.583","6"
"2024-03-21 14:41:55.360","7"
"2024-03-21 14:42:00.872","2"
"2024-03-21 14:42:39.947","6"
"2024-03-21 14:45:11.848","7"
"2024-03-21 14:45:16.952","2"
"2024-03-21 14:45:48.520","6"
"2024-03-21 14:48:31.959","7"
"2024-03-21 14:48:37.969","2"
"2024-03-21 14:49:04.812","6"
"2024-03-21 14:50:01.928","2"
"2024-03-21 14:52:20.853","3"
"2024-03-21 14:52:22.857","6"
"2024-03-21 14:55:10.810","7"
"2024-03-21 14:55:16.832","2"
"2024-03-21 14:55:35.879","6"
"2024-03-21 15:03:21.569","7"
"2024-03-21 15:03:27.585","2"
"2024-03-21 15:04:04.788","6"
"2024-03-21 15:06:43.549","7"
"2024-03-21 15:06:48.558","2"
"2024-03-21 15:07:12.670","6"
"2024-03-21 15:11:01.767","7"
"2024-03-21 15:11:06.778","2"
"2024-03-21 15:14:18.877","3"
"2024-03-21 15:14:19.879","6"
"2024-03-21 15:16:59.601","7"
"2024-03-21 15:17:04.614","2"
"2024-03-21 15:17:27.671","6"
"2024-03-21 15:20:55.684","7"
"2024-03-21 15:21:01.698","2"
"2024-03-21 15:21:35.767","6"
"2024-03-21 15:23:48.578","7"
"2024-03-21 15:23:54.592","2"
"2024-03-21 15:45:45.946","3"
"2024-03-21 15:45:48.948","6"
"2024-03-21 15:46:23.015","7"
"2024-03-21 15:46:25.018","2"
"2024-03-21 15:47:47.722","3"
"2024-03-21 15:47:53.730","6"
"2024-03-21 15:50:17.748","7"
"2024-03-21 15:50:20.752","2"
"2024-03-21 15:50:21.755","3"
"2024-03-21 15:50:22.757","6"
"2024-03-21 15:50:46.795","7"
"2024-03-21 15:50:51.804","2"
"2024-03-21 15:51:16.954","3"
"2024-03-21 15:51:19.960","6"
"2024-03-21 15:51:20.962","2"
"2024-03-21 15:52:11.068","3"
"2024-03-21 15:52:14.072","6"
"2024-03-21 15:53:12.899","7"
"2024-03-21 15:53:15.902","2"
"2024-03-21 15:53:20.910","3"
"2024-03-21 15:53:23.916","2"
"2024-03-21 15:54:02.994","3"
"2024-03-21 15:54:04.998","6"
"2024-03-21 15:55:24.662","7"
"2024-03-21 15:55:33.679","2"
"2024-03-21 15:56:38.439","6"
"2024-03-21 15:58:26.193","7"
"2024-03-21 15:58:35.213","2"
"2024-03-21 15:59:11.412","3"
"2024-03-21 15:59:12.415","6"
"2024-03-21 16:00:14.546","2"
"2024-03-21 16:19:25.734","3"
"2024-03-21 16:19:32.749","6"
"2024-03-21 16:20:48.666","7"
"2024-03-21 16:20:55.688","2"
"2024-03-21 16:23:31.028","6"
"2024-03-21 16:26:03.395","7"
"2024-03-21 16:26:05.398","2"
"2024-03-21 16:27:36.089","6"
"2024-03-21 16:27:37.094","2"
"2024-03-21 16:27:38.103","6"
"2024-03-21 16:28:19.175","7"
"2024-03-21 16:28:27.193","2"
"2024-03-21 16:28:29.197","6"
"2024-03-21 16:28:48.236","7"
"2024-03-21 16:28:57.251","2"
"2024-03-21 16:44:26.356","3"
"2024-03-21 16:44:30.364","6"
"2024-03-21 16:45:11.451","7"
