"id","time","previous","difference","productionLineName","seats","spacers"
35990,"2024-03-14 13:21:02.114775+00","2024-03-14 13:11:05.567705+00","00:09:56.54707","25",False,False
35719,"2024-03-12 23:43:42.346581+00","2024-03-12 23:33:43.685688+00","00:09:58.660893","25",False,False
35296,"2024-03-07 20:50:21.371148+00","2024-03-07 20:40:22.70123+00","00:09:58.669918","25",False,False
35711,"2024-03-12 22:32:15.181524+00","2024-03-12 22:22:15.290883+00","00:09:59.890641","25",False,False
35210,"2024-03-07 13:59:08.338173+00","2024-03-07 13:49:03.66146+00","00:10:04.676713","25",False,False
35405,"2024-03-11 10:38:37.529275+00","2024-03-11 10:28:29.641802+00","00:10:07.887473","25",False,False
35302,"2024-03-07 21:25:06.312513+00","2024-03-07 21:14:52.459276+00","00:10:13.853237","25",NULL,NULL
35950,"2024-03-14 04:01:48.42641+00","2024-03-14 03:51:32.999461+00","00:10:15.426949","25",False,False
35385,"2024-03-08 18:38:20.859236+00","2024-03-08 18:28:01.111686+00","00:10:19.74755","25",False,False
35884,"2024-03-13 20:25:38.964457+00","2024-03-13 20:15:14.766121+00","00:10:24.198336","25",False,False
35518,"2024-03-11 22:12:42.315967+00","2024-03-11 22:02:16.041035+00","00:10:26.274932","25",False,False
35165,"2024-03-07 05:25:55.58675+00","2024-03-07 05:15:29.179288+00","00:10:26.407462","25",False,False
35173,"2024-03-07 07:00:13.78189+00","2024-03-07 06:49:46.128144+00","00:10:27.653746","25",False,False
35556,"2024-03-12 04:02:23.92283+00","2024-03-12 03:51:55.682048+00","00:10:28.240782","25",False,False
35390,"2024-03-08 19:25:40.362878+00","2024-03-08 19:15:09.211028+00","00:10:31.15185","25",False,False
35780,"2024-03-13 06:09:29.33456+00","2024-03-13 05:58:56.747118+00","00:10:32.587442","25",NULL,NULL
35335,"2024-03-08 01:57:03.415561+00","2024-03-08 01:46:30.548279+00","00:10:32.867282","25",False,False
35382,"2024-03-08 18:05:11.41414+00","2024-03-08 17:54:36.01084+00","00:10:35.4033","25",False,False
35516,"2024-03-11 21:53:07.727832+00","2024-03-11 21:42:29.478087+00","00:10:38.249745","25",False,False
35883,"2024-03-13 20:15:14.766121+00","2024-03-13 20:04:32.098929+00","00:10:42.667192","25",False,False
35166,"2024-03-07 05:36:40.674372+00","2024-03-07 05:25:55.58675+00","00:10:45.087622","25",False,False
35650,"2024-03-12 15:28:26.269193+00","2024-03-12 15:17:36.86909+00","00:10:49.400103","25",False,False
35968,"2024-03-14 06:19:45.359035+00","2024-03-14 06:08:50.609158+00","00:10:54.749877","25",False,False
35501,"2024-03-11 19:41:24.561838+00","2024-03-11 19:30:17.02699+00","00:11:07.534848","25",False,False
35514,"2024-03-11 21:31:16.692144+00","2024-03-11 21:20:07.66894+00","00:11:09.023204","25",False,False
35491,"2024-03-11 18:33:49.346383+00","2024-03-11 18:22:38.19447+00","00:11:11.151913","25",False,False
35781,"2024-03-13 06:20:41.102746+00","2024-03-13 06:09:29.33456+00","00:11:11.768186","25",False,False
35515,"2024-03-11 21:42:29.478087+00","2024-03-11 21:31:16.692144+00","00:11:12.785943","25",False,False
35512,"2024-03-11 21:10:22.722795+00","2024-03-11 20:59:07.571386+00","00:11:15.151409","25",False,False
35928,"2024-03-14 00:59:05.176075+00","2024-03-14 00:47:47.353059+00","00:11:17.823016","25",False,False
35199,"2024-03-07 13:13:52.055079+00","2024-03-07 13:02:33.542019+00","00:11:18.51306","25",False,False
35383,"2024-03-08 18:16:31.313629+00","2024-03-08 18:05:11.41414+00","00:11:19.899489","25",False,False
35339,"2024-03-08 02:32:00.064238+00","2024-03-08 02:20:38.183564+00","00:11:21.880674","25",False,False
35143,"2024-03-07 02:26:28.205537+00","2024-03-07 02:15:05.676987+00","00:11:22.52855","25",False,False
35522,"2024-03-11 22:53:51.487976+00","2024-03-11 22:42:23.30096+00","00:11:28.187016","25",False,False
35384,"2024-03-08 18:28:01.111686+00","2024-03-08 18:16:31.313629+00","00:11:29.798057","25",False,False
35540,"2024-03-12 01:33:42.987058+00","2024-03-12 01:22:13.061942+00","00:11:29.925116","25",False,False
35521,"2024-03-11 22:42:23.30096+00","2024-03-11 22:30:52.243971+00","00:11:31.056989","25",False,False
35369,"2024-03-08 06:41:14.53377+00","2024-03-08 06:29:40.518611+00","00:11:34.015159","25",False,False
35397,"2024-03-08 20:28:46.975966+00","2024-03-08 20:17:12.960548+00","00:11:34.015418","25",False,False
35336,"2024-03-08 02:08:43.950023+00","2024-03-08 01:57:03.415561+00","00:11:40.534462","25",False,False
35918,"2024-03-13 23:29:33.968141+00","2024-03-13 23:17:48.933893+00","00:11:45.034248","25",False,False
35526,"2024-03-11 23:30:16.9688+00","2024-03-11 23:18:27.987654+00","00:11:48.981146","25",False,False
35180,"2024-03-07 11:36:58.675119+00","2024-03-07 11:25:01.483057+00","00:11:57.192062","25",False,False
35129,"2024-03-07 00:30:05.93701+00","2024-03-07 00:18:06.634937+00","00:11:59.302073","25",False,False
35391,"2024-03-08 19:37:52.033824+00","2024-03-08 19:25:40.362878+00","00:12:11.670946","25",False,False
35174,"2024-03-07 07:12:27.898837+00","2024-03-07 07:00:13.78189+00","00:12:14.116947","25",False,False
35712,"2024-03-12 22:44:32.975062+00","2024-03-12 22:32:15.181524+00","00:12:17.793538","25",False,False
35646,"2024-03-12 14:53:17.847185+00","2024-03-12 14:40:59.04446+00","00:12:18.802725","25",False,False
